"","0-17","18-29","30-49","50-64","65-84","85+","Under Investigation"
"3/14","","","","","1",""
"3/15","","","","1","1",""
"3/16","","1","2","1","3",""
"3/17","","1","3","1","3",""
"3/19","","2","3","2","8",""
"3/20","","3","6","3","8",""
"3/21","2","5","7","5","8",""
"3/22","2","5","7","5","9",""
"3/23","3","6","10","8","11","1"
"3/24","3","7","12","10","13","1"
"3/25","3","7","14","13","15","2"
"3/26","3","7","15","14","17","2"
"3/27","3","9","18","16","19","2"
"3/28","3","11","19","17","20","2"
"3/29","3","11","21","17","21","2"
"3/30","3","12","22","19","22","3"
"3/31","3","12","22","21","22","3"
"4/1","3","12","23","22","23","3"
"4/2","3","13","24","24","26","3"
"4/4","4","13","24","25","26","3"
"4/6","4","14","24","26","26","3"
"4/7","4","15","25","28","26","4"
"4/8","4","15","25","30","26","4"
"4/9","4","16","25","30","27","4"
"4/10","4","16","26","31","28","4"
"4/11","5","17","26","32","28","4"
"4/12","5","17","26","33","31","4"
"4/13","6","18","26","34","31","4"
"4/14","6","18","28","34","32","4"
"4/15","6","18","28","37","32","4"
"4/16","6","18","29","37","33","4"
"4/17","6","19","29","38","33","4"
"4/18","6","19","30","40","33","4"
"4/20","6","19","30","42","33","4"
"4/21","6","20","32","44","34","4"
"4/22","6","21","32","45","36","4"
"4/23","9","22","33","47","36","4"
"4/24","10","26","34","50","37","4"
"4/25","10","28","35","51","37","4"
"4/26","10","29","35","51","37","4"
"4/27","12","30","35","52","39","4"
"4/28","12","32","36","53","39","4"
"4/29","12","32","40","56","39","4"
"4/30","13","35","41","56","39","4"
"5/1","13","37","42","56","39","4"
"5/2","14","41","46","57","39","4"
"5/4","14","42","46","58","40","4"
"5/5","14","42","47","59","40","4"
"5/6","15","42","51","59","40","4"
"5/7","15","44","51","60","40","4"
"5/9","20","45","51","60","43","4"
"5/10","21","46","51","60","43","4"
"5/11","21","48","51","61","43","4"
"5/12","23","50","52","62","43","4"
"5/13","23","50","52","62","44","4"
"5/14","23","52","52","62","44","4"
"5/15","23","54","52","63","44","4"
"5/16","23","57","52","63","44","4"
"5/17","23","57","52","64","44","4"
"5/18","23","58","53","64","44","4"
"5/19","23","59","53","64","44","4"
"5/20","23","59","55","64","44","4"
"5/21","24","59","56","64","44","4"
"5/22","24","59","59","66","44","4"
"5/23","24","59","61","66","44","4"
"5/24","24","59","62","66","44","4"
"5/25","25","59","62","66","44","4"
"5/26","25","61","65","67","44","4"
"5/28","25","61","66","67","44","4"
"5/29","25","61","67","68","44","4"
"5/31","25","62","67","68","44","4"
"6/1","27","62","70","68","44","4"
"6/2","27","64","71","70","44","4"
"6/3","27","64","72","70","44","4"
"6/4","30","66","72","73","45","5"
"6/5","30","67","74","76","45","5"
"6/8","30","68","76","76","46","5"
"6/9","30","68","76","77","46","5"
"6/10","32","70","77","78","46","5"
"6/11","32","74","80","83","48","5"
"6/12","32","77","81","83","49","5"
"6/13","32","77","84","83","49","5"
"6/14","32","77","86","83","50","5"
"6/15","34","82","87","88","52","6"
"6/16","38","85","93","91","53","8"
"6/17","43","86","97","94","54","8"
"6/18","49","88","101","95","55","9"
"6/19","49","90","107","97","58","10"
"6/20","50","95","114","100","59","10"
"6/21","50","97","118","100","60","10"
"6/22","51","103","123","101","63","10"
"6/23","51","106","130","103","66","10"
"6/24","51","114","136","105","66","11"
"6/25","53","130","140","108","66","11"
"6/26","53","132","142","108","66","11"
"6/27","53","137","148","114","68","12"
"6/28","54","144","156","118","71","12"
"6/29","58","155","164","126","75","13"
"6/30","61","160","167","130","80","13"
"7/1","62","172","173","142","80","13"
"7/2","65","184","184","146","83","13"
"7/3","66","193","193","147","85","13"
"7/4","66","202","196","154","87","13"
"7/5","67","213","201","158","90","15"
"7/6","70","219","206","163","91","16"
"7/7","75","234","218","169","96","16"
"7/8","75","242","235","176","101","16"
"7/9","78","251","244","181","106","17"
"7/10","81","259","253","183","110","19"
"7/11","86","279","274","202","115","19"
"7/12","90","284","278","204","116","19"
"7/13","92","289","281","206","119","19"
"7/14","97","309","305","223","124","19","1"
"7/15","100","324","312","227","128","19","2"
"7/16","107","338","325","236","131","20","1"
"7/17","110","352","354","241","134","20","2"
"7/18","118","363","370","248","139","20","3"
"7/19","125","368","383","250","140","20","3"
"7/20","125","376","388","251","143","20","3"
"7/21","131","393","407","262","149","24","3"
"7/22","136","398","417","263","149","28","2"
"7/23","141","413","444","275","158","34","2"
"7/24","146","428","451","279","161","35","0"
"7/25","151","439","476","288","163","37","0"
"7/26","154","451","488","292","167","39","0"
"7/27","162","460","506","301","173","40","2"
"7/28","165","471","524","313","174","40","2"
"7/29","168","476","531","315","176","42","2"
"7/30","172","485","542","320","177","42","2"
"7/31","175","494","560","327","181","43","3"
"8/1","186","510","577","338","184","44","1"
"8/2","191","515","585","340","184","44","1"
"8/3","196","529","597","347","187","45","1"
"8/4","197","541","604","349","188","46","1"
"8/5","197","557","619","362","187","46","2"
"8/6","205","567","656","379","190","48","2"
"8/7","208","573","682","388","193","48","1"
"8/8","211","582","697","393","193","48","1"
"8/9","216","595","712","403","193","49","1"
"8/10","227","611","754","416","196","49","1"
"8/11","227","622","760","422","197","49","1"
"8/12","229","632","766","425","198","49","1"
"8/13","232","639","777","426","201","48","1"
"8/14","232","659","838","452","209","48","1"
"8/15","234","674","870","455","211","50","1"
"8/16","239","679","886","461","213","51","1"
"8/17","241","687","901","468","214","51","0"
"8/18","242","691","903","469","214","52","0"
"8/19","244","689","906","473","215","52","0"
"8/20","253","700","914","478","216","52","0"
"8/21","259","713","933","490","217","53","0"
"8/22","258","720","949","492","220","53","0"
"8/23","260","729","954","492","221","53","0"
"8/24","264","742","959","495","222","53","0"
"8/25","268","763","967","496","222","53"
"8/26","270","779","970","498","222","53"
"8/27","271","806","981","507","223","54"
"8/28","274","828","991","510","225","54","0"
"8/29","282","846","1007","525","229","54","0"
"8/30","282","858","1012","527","229","54","0"
"8/31","284","865","1017","532","229","54","0"
"9/1","286","876","1020","536","234","54"
"9/2","287","889","1026","541","236","55","1"
"9/3","288","903","1026","541","234","55"
